Title,Year,Format,AVS,Catalogue
Batman Begins,2005,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57304654,https://beqcatalogue.readthedocs.io/en/latest/57304654/
Batman The Dark Knight,2008,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57304684,https://beqcatalogue.readthedocs.io/en/latest/57304684/
Batman The Dark Knight Rises,2012,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57305420,https://beqcatalogue.readthedocs.io/en/latest/57305420/
Batman v Superman: Dawn of Justice,2016,Extended Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56904674,https://beqcatalogue.readthedocs.io/en/latest/56904674/
Batman:Hush,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58370258,https://beqcatalogue.readthedocs.io/en/latest/58370258/
Batman vs Teenage Mutant Ninja Turtles,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58439882,https://beqcatalogue.readthedocs.io/en/latest/58439882/
Battle:Los Angeles,2011,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57316732,https://beqcatalogue.readthedocs.io/en/latest/57316732/
Battleship,2012,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56793968,https://beqcatalogue.readthedocs.io/en/latest/56793968/
Baywatch,2017,Unrated Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56880866,https://beqcatalogue.readthedocs.io/en/latest/56880866/
Beauty and the Beast,2017,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57583214,https://beqcatalogue.readthedocs.io/en/latest/57583214/
